,index,component,part,timestamp,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,erroneous
217,217,19.0,4.0,7.0,1.0,0.0,0.0,0.0,13.0,32.0,0.0
218,218,13.0,2.0,7.0,0.0,0.0,0.0,0.0,11.0,33.0,0.0
219,219,13.0,2.0,7.0,1.0,0.0,0.0,0.0,11.0,33.0,0.0
220,220,12.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
221,221,12.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
222,222,6.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
223,223,5.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
224,224,5.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
225,225,7.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
226,226,7.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
227,227,5.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
228,228,7.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
229,229,11.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
230,230,11.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
231,231,11.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
232,232,11.0,13.0,7.0,0.0,0.0,0.0,0.0,-44.0,33.0,0.0
233,233,6.0,1.0,7.0,0.0,0.0,0.0,0.0,-44.0,37.0,0.0
234,234,6.0,3.0,7.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
235,235,6.0,3.0,7.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
236,236,11.0,3.0,7.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
237,237,7.0,6.0,7.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
238,238,7.0,6.0,7.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
239,239,5.0,6.0,7.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
240,240,7.0,6.0,7.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
241,241,11.0,6.0,7.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
242,242,11.0,6.0,7.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
243,243,8.0,4.0,7.0,1.0,0.0,0.0,0.0,-44.0,32.0,0.0
244,244,8.0,4.0,7.0,0.0,0.0,0.0,0.0,-44.0,32.0,0.0
245,245,8.0,4.0,7.0,0.0,0.0,0.0,0.0,-44.0,32.0,0.0
246,246,8.0,4.0,7.0,1.0,0.0,0.0,0.0,-44.0,32.0,0.0
247,247,2.0,2.0,7.0,1.0,0.0,0.0,0.0,-59.0,38.0,0.0
248,248,2.0,2.0,7.0,0.0,0.0,0.0,0.0,-59.0,38.0,0.0
249,249,12.0,3.0,7.0,1.0,0.0,0.0,0.0,-59.0,31.0,0.0
250,250,6.0,3.0,7.0,1.0,0.0,0.0,0.0,-59.0,31.0,0.0
251,251,6.0,3.0,7.0,0.0,0.0,0.0,0.0,-59.0,31.0,0.0
252,252,6.0,1.0,8.0,1.0,0.0,0.0,0.0,-59.0,39.0,0.0
253,253,14.0,3.0,7.0,1.0,0.0,0.0,0.0,-59.0,31.0,0.0
254,254,6.0,3.0,7.0,0.0,0.0,0.0,0.0,-59.0,31.0,0.0
255,255,2.0,3.0,7.0,0.0,0.0,0.0,0.0,-59.0,31.0,0.0
256,256,12.0,3.0,7.0,1.0,0.0,0.0,0.0,-110.0,31.0,0.0
257,257,5.0,3.0,7.0,1.0,0.0,0.0,0.0,-110.0,31.0,0.0
258,258,5.0,3.0,7.0,1.0,0.0,0.0,0.0,-110.0,31.0,0.0
259,259,4.0,1.0,7.0,1.0,0.0,0.0,0.0,-110.0,31.0,0.0
260,260,4.0,4.0,7.0,1.0,0.0,0.0,0.0,-110.0,40.0,0.0
261,261,9.0,4.0,7.0,1.0,0.0,0.0,0.0,-110.0,40.0,0.0
262,262,4.0,4.0,7.0,1.0,0.0,0.0,0.0,-110.0,40.0,0.0
263,263,9.0,4.0,7.0,1.0,0.0,0.0,0.0,-110.0,40.0,0.0
264,264,11.0,10.0,7.0,1.0,0.0,0.0,0.0,-22.0,39.0,0.0
265,265,11.0,10.0,7.0,1.0,0.0,0.0,0.0,-22.0,39.0,0.0
266,266,11.0,10.0,7.0,1.0,0.0,0.0,0.0,-22.0,39.0,0.0
267,267,16.0,10.0,7.0,1.0,0.0,0.0,0.0,-22.0,39.0,0.0
268,268,16.0,10.0,7.0,0.0,0.0,0.0,0.0,-22.0,39.0,0.0
269,269,16.0,10.0,7.0,1.0,0.0,0.0,0.0,-22.0,39.0,0.0
270,270,16.0,10.0,7.0,0.0,0.0,0.0,0.0,-22.0,39.0,0.0
271,271,17.0,10.0,7.0,1.0,0.0,0.0,0.0,-22.0,39.0,0.0
272,272,17.0,10.0,7.0,1.0,0.0,0.0,0.0,-22.0,39.0,0.0
273,273,17.0,10.0,7.0,1.0,0.0,0.0,0.0,-22.0,39.0,0.0
274,274,0.0,1.0,7.0,1.0,0.0,0.0,0.0,-22.0,31.0,0.0
275,275,8.0,3.0,7.0,0.0,0.0,0.0,0.0,39.0,31.0,0.0
276,276,8.0,3.0,7.0,0.0,0.0,0.0,0.0,39.0,31.0,0.0
277,277,8.0,3.0,7.0,1.0,0.0,0.0,0.0,39.0,31.0,0.0
278,278,12.0,1.0,7.0,1.0,0.0,0.0,0.0,61.0,38.0,0.0
279,279,7.0,9.0,7.0,0.0,0.0,0.0,0.0,334.0,10.0,0.0
280,280,7.0,9.0,7.0,1.0,0.0,0.0,0.0,334.0,10.0,0.0
281,281,7.0,9.0,7.0,0.0,0.0,0.0,0.0,334.0,10.0,0.0
282,282,5.0,9.0,7.0,0.0,0.0,0.0,0.0,334.0,10.0,0.0
283,283,7.0,9.0,7.0,1.0,0.0,0.0,0.0,334.0,10.0,0.0
284,284,7.0,9.0,7.0,0.0,0.0,0.0,0.0,334.0,10.0,0.0
285,285,11.0,9.0,7.0,0.0,0.0,0.0,0.0,334.0,10.0,0.0
286,286,11.0,9.0,7.0,1.0,0.0,0.0,0.0,334.0,10.0,0.0
287,287,11.0,9.0,7.0,0.0,0.0,0.0,0.0,334.0,10.0,0.0
288,288,11.0,1.0,7.0,1.0,0.0,0.0,0.0,83.0,39.0,0.0
289,289,4.0,2.0,7.0,1.0,0.0,0.0,0.0,-25.0,41.0,0.0
290,290,9.0,2.0,7.0,1.0,0.0,0.0,0.0,-25.0,41.0,0.0
291,291,10.0,2.0,7.0,1.0,0.0,0.0,0.0,-25.0,32.0,0.0
292,292,10.0,2.0,7.0,1.0,0.0,0.0,0.0,-25.0,32.0,0.0
293,293,15.0,1.0,7.0,1.0,0.0,0.0,0.0,12.0,31.0,0.0
294,294,4.0,2.0,7.0,1.0,0.0,0.0,0.0,245.0,41.0,0.0
295,295,9.0,2.0,7.0,1.0,0.0,0.0,0.0,245.0,41.0,0.0
296,296,10.0,2.0,7.0,1.0,0.0,0.0,0.0,245.0,32.0,0.0
297,297,10.0,2.0,7.0,1.0,0.0,0.0,0.0,245.0,32.0,0.0
298,298,3.0,1.0,7.0,0.0,0.0,0.0,0.0,-137.0,29.0,0.0
299,299,3.0,3.0,7.0,1.0,0.0,0.0,0.0,-137.0,37.0,0.0
300,300,3.0,3.0,7.0,1.0,0.0,0.0,0.0,-137.0,37.0,0.0
301,301,3.0,3.0,7.0,1.0,0.0,0.0,0.0,-137.0,37.0,0.0
302,302,3.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,37.0,0.0
303,303,3.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,37.0,0.0
304,304,2.0,3.0,0.0,1.0,0.0,0.0,0.0,-107.0,38.0,0.0
305,305,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-107.0,38.0,0.0
306,306,12.0,3.0,0.0,1.0,0.0,0.0,0.0,-107.0,38.0,0.0
307,307,6.0,1.0,0.0,1.0,0.0,0.0,0.0,-107.0,10.0,0.0
